text	ref	p_Id	body_Id
"Ottawa, Ontario"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Ottawa&params=45_25_N_75_41_W_region:CA-ON_type:city	48	
"Bryson, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Aldfield&params=54.120_N_-01.598_E_region:GB_type:city	49	
"Outlook, Saskatchewan "	https://tools.wmflabs.org/geohack/geohack.php?pagename=Outlook%2C_Saskatchewan&params=51_30_N_107_03_W_region:CA-SK_type:city(2204)	49	
"Regina, Saskatchewan "	https://tools.wmflabs.org/geohack/geohack.php?pagename=Regina%2C_Saskatchewan&params=50_27_17_N_104_36_24_W_type:city_region:CA-SK	49	
"Solsgirth, Manitoba"	 https://tools.wmflabs.org/geohack/geohack.php?pagename=Division_No._15%2C_Manitoba&params=50_23_43_N_100_22_08_W_type:adm2nd_source:AcmeMapper_scale:1000000 	49	
"Winchester, Ontario "	 https://tools.wmflabs.org/geohack/geohack.php?pagename=North_Dundas%2C_Ontario&params=45_05_N_75_21_W_region:CA-ON_type:city(11225)	49	
"Quyon, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Quyon%2C_Quebec&params=45_31_N_76_14_W_region:CA_type:city_source:GNS-enwiki&title=Quyon%2C+Quebec	49	
"Pontiac Community Hospital, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Pontiac%2C_Quebec&params=45_35_N_76_08_W_region:CA-QC_type:city(5681)	49	
"Shawville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	50	
"The Ottawa General Hospital,Ontario"	https://en.wikipedia.org/wiki/Ottawa_General_Hospital	51	
